Query,File,Itemset,Frequency,Duration
Q3,pumsb.dat,906,0.2,15019
Q4,pumsb.dat,1070691,0.2,15001
Q5,pumsb.dat,103906,0.2,15001
Q6,pumsb.dat,1584,0.2,15138
Q7,pumsb.dat,160310,0.2,15001
Q8,pumsb.dat,74083,0.2,15001
Q9,pumsb.dat,192181,0.2,15001
Q1,pumsb.dat,642529,0.4,15001
Q2,pumsb.dat,191498,0.4,15001
Q3,pumsb.dat,1200,0.4,16960
Q4,pumsb.dat,1125239,0.4,15001
Q5,pumsb.dat,89768,0.4,15001
Q6,pumsb.dat,3543,0.4,15001
Q7,pumsb.dat,160085,0.4,15001
Q8,pumsb.dat,0,0.4,15
Q9,pumsb.dat,185865,0.4,15001
Q1,pumsb.dat,610518,0.6,15001
Q2,pumsb.dat,186009,0.6,15001
Q3,pumsb.dat,975,0.6,15003
Q4,pumsb.dat,1124922,0.6,15001
Q5,pumsb.dat,81997,0.6,15001
Q6,pumsb.dat,6413,0.6,15005
Q7,pumsb.dat,159257,0.6,15001
Q8,pumsb.dat,0,0.6,16
Q9,pumsb.dat,186818,0.6,15001
Q1,pumsb.dat,142156,0.8,3630
Q2,pumsb.dat,33295,0.8,2664
Q3,pumsb.dat,1469,0.8,15002
Q4,pumsb.dat,1104100,0.8,15001
Q5,pumsb.dat,67835,0.8,12099
Q6,pumsb.dat,7958,0.8,15003
Q7,pumsb.dat,32580,0.8,3222
Q8,pumsb.dat,0,0.8,10
Q9,pumsb.dat,33295,0.8,2862
Q1,heart-cleveland.dat,12499897,0.2,15001
Q2,heart-cleveland.dat,1044428,0.2,3312
Q3,heart-cleveland.dat,108151,0.2,15824
Q4,heart-cleveland.dat,13156226,0.2,15001
Q5,heart-cleveland.dat,1060852,0.2,5001
Q6,heart-cleveland.dat,135295,0.2,15005
Q7,heart-cleveland.dat,1042538,0.2,5033
Q8,heart-cleveland.dat,123,0.2,2
Q9,heart-cleveland.dat,1044305,0.2,3461
Q1,heart-cleveland.dat,110837,0.4,159
Q2,heart-cleveland.dat,24327,0.4,75
Q3,heart-cleveland.dat,7232,0.4,211
Q4,heart-cleveland.dat,13048586,0.4,15001
Q5,heart-cleveland.dat,24332,0.4,92
Q6,heart-cleveland.dat,17101,0.4,550
Q7,heart-cleveland.dat,23538,0.4,116
Q8,heart-cleveland.dat,0,0.4,1
Q9,heart-cleveland.dat,24327,0.4,80
Q1,heart-cleveland.dat,1649,0.6,2
Q2,heart-cleveland.dat,970,0.6,3
Q3,heart-cleveland.dat,448,0.6,7
Q4,heart-cleveland.dat,13185355,0.6,15001
Q5,heart-cleveland.dat,970,0.6,3
Q6,heart-cleveland.dat,1394,0.6,21
Q7,heart-cleveland.dat,601,0.6,4
Q8,heart-cleveland.dat,0,0.6,0
Q9,heart-cleveland.dat,970,0.6,4
Q1,heart-cleveland.dat,34,0.8,0
Q2,heart-cleveland.dat,32,0.8,0
Q3,heart-cleveland.dat,21,0.8,1
Q4,heart-cleveland.dat,12993799,0.8,15001
Q5,heart-cleveland.dat,32,0.8,0
Q6,heart-cleveland.dat,150,0.8,2
Q7,heart-cleveland.dat,0,0.8,1
Q8,heart-cleveland.dat,0,0.8,0
Q9,heart-cleveland.dat,32,0.8,1
Q1,eisen.dat,11,0.2,7
Q2,eisen.dat,10,0.2,12
Q3,eisen.dat,7,0.2,253
Q4,eisen.dat,237910,0.2,15001
Q5,eisen.dat,10,0.2,8
Q6,eisen.dat,1,0.2,18470
Q7,eisen.dat,0,0.2,46
Q8,eisen.dat,1,0.2,12
Q9,eisen.dat,9,0.2,12
Q1,eisen.dat,1,0.4,7
Q2,eisen.dat,1,0.4,23
Q3,eisen.dat,1,0.4,247
Q4,eisen.dat,283954,0.4,15001
Q5,eisen.dat,1,0.4,14
Q6,eisen.dat,1,0.4,18180
Q7,eisen.dat,0,0.4,29
Q8,eisen.dat,0,0.4,10
Q9,eisen.dat,1,0.4,10
Q1,eisen.dat,1,0.6,7
Q2,eisen.dat,1,0.6,12
Q3,eisen.dat,1,0.6,246
Q4,eisen.dat,292003,0.6,15001
Q5,eisen.dat,1,0.6,14
Q6,eisen.dat,1,0.6,18618
Q7,eisen.dat,0,0.6,24
Q8,eisen.dat,0,0.6,6
Q9,eisen.dat,1,0.6,12
Q1,eisen.dat,0,0.8,3
Q2,eisen.dat,0,0.8,23
Q3,eisen.dat,0,0.8,244
Q4,eisen.dat,241992,0.8,15001
Q5,eisen.dat,0,0.8,7
Q6,eisen.dat,1,0.8,18965
Q7,eisen.dat,0,0.8,24
Q8,eisen.dat,0,0.8,6
Q9,eisen.dat,0,0.8,10
Q1,mushroom.dat,15713,0.2,58
Q2,mushroom.dat,811,0.2,12
Q3,mushroom.dat,136,0.2,46
Q4,mushroom.dat,6676349,0.2,15001
Q5,mushroom.dat,1095,0.2,18
Q6,mushroom.dat,784,0.2,71
Q7,mushroom.dat,709,0.2,13
Q8,mushroom.dat,40,0.2,1
Q9,mushroom.dat,771,0.2,11
Q1,mushroom.dat,415,0.4,2
Q2,mushroom.dat,107,0.4,2
Q3,mushroom.dat,30,0.4,5
Q4,mushroom.dat,6721649,0.4,15001
Q5,mushroom.dat,132,0.4,2
Q6,mushroom.dat,200,0.4,12
Q7,mushroom.dat,62,0.4,2
Q8,mushroom.dat,0,0.4,0
Q9,mushroom.dat,107,0.4,2
Q1,mushroom.dat,51,0.6,0
Q2,mushroom.dat,19,0.6,1
Q3,mushroom.dat,5,0.6,1
Q4,mushroom.dat,6716847,0.6,15001
Q5,mushroom.dat,20,0.6,0
Q6,mushroom.dat,116,0.6,6
Q7,mushroom.dat,5,0.6,0
Q8,mushroom.dat,0,0.6,1
Q9,mushroom.dat,19,0.6,0
Q1,mushroom.dat,23,0.8,0
Q2,mushroom.dat,10,0.8,0
Q3,mushroom.dat,2,0.8,1
Q4,mushroom.dat,6780281,0.8,15001
Q5,mushroom.dat,9,0.8,0
Q6,mushroom.dat,108,0.8,7
Q7,mushroom.dat,2,0.8,0
Q8,mushroom.dat,0,0.8,0
Q9,mushroom.dat,10,0.8,0
Q1,iris.dat,54,0.2,0
Q2,iris.dat,31,0.2,0
Q3,iris.dat,8,0.2,1
Q4,iris.dat,0,0.2,1
Q5,iris.dat,37,0.2,0
Q6,iris.dat,52,0.2,1
Q7,iris.dat,3,0.2,1
Q8,iris.dat,6,0.2,1
Q9,iris.dat,25,0.2,1
Q1,iris.dat,0,0.4,1
Q2,iris.dat,0,0.4,0
Q3,iris.dat,0,0.4,1
Q4,iris.dat,345,0.4,5
Q5,iris.dat,0,0.4,0
Q6,iris.dat,15,0.4,1
Q7,iris.dat,0,0.4,0
Q8,iris.dat,0,0.4,1
Q9,iris.dat,0,0.4,1
Q1,iris.dat,0,0.6,1
Q2,iris.dat,0,0.6,0
Q3,iris.dat,0,0.6,0
Q4,iris.dat,345,0.6,4
Q5,iris.dat,0,0.6,1
Q6,iris.dat,15,0.6,1
Q7,iris.dat,0,0.6,0
Q8,iris.dat,0,0.6,0
Q9,iris.dat,0,0.6,1
Q1,iris.dat,0,0.8,0
Q2,iris.dat,0,0.8,1
Q3,iris.dat,0,0.8,0
Q4,iris.dat,345,0.8,3
Q5,iris.dat,0,0.8,0
Q6,iris.dat,15,0.8,1
Q7,iris.dat,0,0.8,0
Q8,iris.dat,0,0.8,1
Q9,iris.dat,0,0.8,0
Q1,contextPasquier99.dat,19,0.2,1
Q2,contextPasquier99.dat,6,0.2,1
Q3,contextPasquier99.dat,2,0.2,0
Q4,contextPasquier99.dat,0,0.2,0
Q5,contextPasquier99.dat,9,0.2,1
Q6,contextPasquier99.dat,0,0.2,1
Q7,contextPasquier99.dat,1,0.2,0
Q8,contextPasquier99.dat,5,0.2,1
Q9,contextPasquier99.dat,1,0.2,1
Q1,contextPasquier99.dat,15,0.4,0
Q2,contextPasquier99.dat,5,0.4,1
Q3,contextPasquier99.dat,1,0.4,0
Q4,contextPasquier99.dat,4,0.4,0
Q5,contextPasquier99.dat,8,0.4,1
Q6,contextPasquier99.dat,1,0.4,0
Q7,contextPasquier99.dat,1,0.4,0
Q8,contextPasquier99.dat,4,0.4,0
Q9,contextPasquier99.dat,1,0.4,0
Q1,contextPasquier99.dat,9,0.6,0
Q2,contextPasquier99.dat,4,0.6,0
Q3,contextPasquier99.dat,2,0.6,1
Q4,contextPasquier99.dat,4,0.6,0
Q5,contextPasquier99.dat,6,0.6,1
Q6,contextPasquier99.dat,3,0.6,0
Q7,contextPasquier99.dat,0,0.6,1
Q8,contextPasquier99.dat,3,0.6,0
Q9,contextPasquier99.dat,1,0.6,0
Q1,contextPasquier99.dat,4,0.8,0
Q2,contextPasquier99.dat,2,0.8,0
Q3,contextPasquier99.dat,2,0.8,0
Q4,contextPasquier99.dat,12,0.8,1
Q5,contextPasquier99.dat,3,0.8,1
Q6,contextPasquier99.dat,4,0.8,1
Q7,contextPasquier99.dat,0,0.8,0
Q8,contextPasquier99.dat,1,0.8,0
Q9,contextPasquier99.dat,1,0.8,0
