Query,File,Itemset,Frequency,Duration
Q4,pumsb.dat,518380,0.4,15001
Q5,pumsb.dat,79378,0.4,15001
Q6,pumsb.dat,3779,0.4,15038
Q7,pumsb.dat,111122,0.4,15001
Q8,pumsb.dat,0,0.4,11
Q9,pumsb.dat,120194,0.4,15001
Q1,pumsb.dat,725797,0.6,15001
Q2,pumsb.dat,161752,0.6,15001
Q3,pumsb.dat,1048,0.6,15002
Q4,pumsb.dat,512877,0.6,15001
Q5,pumsb.dat,81332,0.6,15001
Q6,pumsb.dat,6734,0.6,15002
Q7,pumsb.dat,104441,0.6,15001
Q8,pumsb.dat,0,0.6,10
Q9,pumsb.dat,154671,0.6,15001
Q1,pumsb.dat,142156,0.8,3071
Q2,pumsb.dat,33295,0.8,3251
Q3,pumsb.dat,1567,0.8,15017
Q4,pumsb.dat,577267,0.8,15001
Q5,pumsb.dat,67835,0.8,12240
Q6,pumsb.dat,8815,0.8,15002
Q7,pumsb.dat,32580,0.8,4614
Q8,pumsb.dat,0,0.8,10
Q9,pumsb.dat,33295,0.8,3411
Q1,heart-cleveland.dat,7632025,0.2,15001
Q2,heart-cleveland.dat,1044428,0.2,6453
Q3,heart-cleveland.dat,31589,0.2,15006
Q4,heart-cleveland.dat,8442312,0.2,15001
Q5,heart-cleveland.dat,1060852,0.2,6286
Q6,heart-cleveland.dat,135349,0.2,15001
Q7,heart-cleveland.dat,1042538,0.2,9690
Q8,heart-cleveland.dat,123,0.2,1
Q9,heart-cleveland.dat,1044305,0.2,6354
Q1,heart-cleveland.dat,110837,0.4,228
Q2,heart-cleveland.dat,24327,0.4,139
Q3,heart-cleveland.dat,7232,0.4,436
Q4,heart-cleveland.dat,8434628,0.4,15001
Q5,heart-cleveland.dat,24332,0.4,123
Q6,heart-cleveland.dat,17101,0.4,533
Q7,heart-cleveland.dat,23538,0.4,226
Q8,heart-cleveland.dat,0,0.4,0
Q9,heart-cleveland.dat,24327,0.4,138
Q1,heart-cleveland.dat,1649,0.6,3
Q2,heart-cleveland.dat,970,0.6,4
Q3,heart-cleveland.dat,448,0.6,13
Q4,heart-cleveland.dat,8397252,0.6,15001
Q5,heart-cleveland.dat,970,0.6,3
Q6,heart-cleveland.dat,1394,0.6,18
Q7,heart-cleveland.dat,601,0.6,7
Q8,heart-cleveland.dat,0,0.6,0
Q9,heart-cleveland.dat,970,0.6,5
Q1,heart-cleveland.dat,34,0.8,0
Q2,heart-cleveland.dat,32,0.8,1
Q3,heart-cleveland.dat,21,0.8,0
Q4,heart-cleveland.dat,8454159,0.8,15001
Q5,heart-cleveland.dat,32,0.8,0
Q6,heart-cleveland.dat,150,0.8,2
Q7,heart-cleveland.dat,0,0.8,1
Q8,heart-cleveland.dat,0,0.8,0
Q9,heart-cleveland.dat,32,0.8,1
Q1,eisen.dat,11,0.2,11
Q2,eisen.dat,10,0.2,21
Q3,eisen.dat,7,0.2,291
Q4,eisen.dat,137939,0.2,15001
Q5,eisen.dat,10,0.2,8
Q6,eisen.dat,1,0.2,17396
Q7,eisen.dat,0,0.2,37
Q8,eisen.dat,1,0.2,9
Q9,eisen.dat,9,0.2,13
Q1,eisen.dat,1,0.4,4
Q2,eisen.dat,1,0.4,20
Q3,eisen.dat,1,0.4,266
Q4,eisen.dat,122187,0.4,15001
Q5,eisen.dat,1,0.4,7
Q6,eisen.dat,1,0.4,17022
Q7,eisen.dat,0,0.4,36
Q8,eisen.dat,0,0.4,6
Q9,eisen.dat,1,0.4,11
Q1,eisen.dat,1,0.6,4
Q2,eisen.dat,1,0.6,16
Q3,eisen.dat,1,0.6,266
Q4,eisen.dat,134054,0.6,15001
Q5,eisen.dat,1,0.6,8
Q6,eisen.dat,1,0.6,19281
Q7,eisen.dat,0,0.6,26
Q8,eisen.dat,0,0.6,21
Q9,eisen.dat,1,0.6,11
Q1,eisen.dat,0,0.8,4
Q2,eisen.dat,0,0.8,58
Q3,eisen.dat,0,0.8,267
Q4,eisen.dat,119006,0.8,15001
Q5,eisen.dat,0,0.8,8
Q6,eisen.dat,1,0.8,16772
Q7,eisen.dat,0,0.8,23
Q8,eisen.dat,0,0.8,8
Q9,eisen.dat,0,0.8,21
Q1,mushroom.dat,15713,0.2,55
Q2,mushroom.dat,811,0.2,17
Q3,mushroom.dat,136,0.2,54
Q4,mushroom.dat,5700117,0.2,15001
Q5,mushroom.dat,1095,0.2,18
Q6,mushroom.dat,784,0.2,66
Q7,mushroom.dat,709,0.2,16
Q8,mushroom.dat,40,0.2,1
Q9,mushroom.dat,771,0.2,13
Q1,mushroom.dat,415,0.4,2
Q2,mushroom.dat,107,0.4,2
Q3,mushroom.dat,30,0.4,6
Q4,mushroom.dat,5594079,0.4,15001
Q5,mushroom.dat,132,0.4,2
Q6,mushroom.dat,200,0.4,12
Q7,mushroom.dat,62,0.4,2
Q8,mushroom.dat,0,0.4,1
Q9,mushroom.dat,107,0.4,2
Q1,mushroom.dat,51,0.6,1
Q2,mushroom.dat,19,0.6,0
Q3,mushroom.dat,5,0.6,1
Q4,mushroom.dat,5729066,0.6,15001
Q5,mushroom.dat,20,0.6,1
Q6,mushroom.dat,116,0.6,6
Q7,mushroom.dat,5,0.6,0
Q8,mushroom.dat,0,0.6,0
Q9,mushroom.dat,19,0.6,0
Q1,mushroom.dat,23,0.8,1
Q2,mushroom.dat,10,0.8,0
Q3,mushroom.dat,2,0.8,1
Q4,mushroom.dat,5863432,0.8,15001
Q5,mushroom.dat,9,0.8,0
Q6,mushroom.dat,108,0.8,6
Q7,mushroom.dat,2,0.8,1
Q8,mushroom.dat,0,0.8,0
Q9,mushroom.dat,10,0.8,1
Q1,iris.dat,54,0.2,1
Q2,iris.dat,31,0.2,0
Q3,iris.dat,8,0.2,0
Q4,iris.dat,291,0.2,1
Q5,iris.dat,37,0.2,1
Q6,iris.dat,52,0.2,0
Q7,iris.dat,3,0.2,2
Q8,iris.dat,6,0.2,0
Q9,iris.dat,25,0.2,1
Q1,iris.dat,0,0.4,0
Q2,iris.dat,0,0.4,0
Q3,iris.dat,0,0.4,1
Q4,iris.dat,345,0.4,0
Q5,iris.dat,0,0.4,0
Q6,iris.dat,15,0.4,0
Q7,iris.dat,0,0.4,0
Q8,iris.dat,0,0.4,0
Q9,iris.dat,0,0.4,1
Q1,iris.dat,0,0.6,0
Q2,iris.dat,0,0.6,0
Q3,iris.dat,0,0.6,0
Q4,iris.dat,345,0.6,1
Q5,iris.dat,0,0.6,1
Q6,iris.dat,15,0.6,0
Q7,iris.dat,0,0.6,0
Q8,iris.dat,0,0.6,0
Q9,iris.dat,0,0.6,0
Q1,iris.dat,0,0.8,0
Q2,iris.dat,0,0.8,0
Q3,iris.dat,0,0.8,0
Q4,iris.dat,345,0.8,1
Q5,iris.dat,0,0.8,0
Q6,iris.dat,15,0.8,0
Q7,iris.dat,0,0.8,0
Q8,iris.dat,0,0.8,0
Q9,iris.dat,0,0.8,1
Q1,contextPasquier99.dat,19,0.2,0
Q2,contextPasquier99.dat,6,0.2,1
Q3,contextPasquier99.dat,2,0.2,0
Q4,contextPasquier99.dat,0,0.2,0
Q5,contextPasquier99.dat,9,0.2,0
Q6,contextPasquier99.dat,0,0.2,0
Q7,contextPasquier99.dat,1,0.2,0
Q8,contextPasquier99.dat,5,0.2,0
Q9,contextPasquier99.dat,1,0.2,0
Q1,contextPasquier99.dat,15,0.4,0
Q2,contextPasquier99.dat,5,0.4,0
Q3,contextPasquier99.dat,1,0.4,0
Q4,contextPasquier99.dat,4,0.4,0
Q5,contextPasquier99.dat,8,0.4,0
Q6,contextPasquier99.dat,1,0.4,0
Q7,contextPasquier99.dat,1,0.4,1
Q8,contextPasquier99.dat,4,0.4,0
Q9,contextPasquier99.dat,1,0.4,0
Q1,contextPasquier99.dat,9,0.6,0
Q2,contextPasquier99.dat,4,0.6,0
Q3,contextPasquier99.dat,2,0.6,0
Q4,contextPasquier99.dat,10,0.6,1
Q5,contextPasquier99.dat,6,0.6,0
Q6,contextPasquier99.dat,3,0.6,0
Q7,contextPasquier99.dat,0,0.6,0
Q8,contextPasquier99.dat,3,0.6,1
Q9,contextPasquier99.dat,1,0.6,0
Q1,contextPasquier99.dat,4,0.8,1
Q2,contextPasquier99.dat,2,0.8,0
Q3,contextPasquier99.dat,2,0.8,0
Q4,contextPasquier99.dat,15,0.8,0
Q5,contextPasquier99.dat,3,0.8,1
Q6,contextPasquier99.dat,4,0.8,0
Q7,contextPasquier99.dat,0,0.8,0
Q8,contextPasquier99.dat,1,0.8,1
Q9,contextPasquier99.dat,1,0.8,0
