Query,File,Itemset,Frequency,Duration
Q4,connect.dat,221493460,0.2,15001
Q5,connect.dat,1563,0.2,101388
Q6,connect.dat,16763,0.2,15003
Q7,connect.dat,7280,0.2,15003
Q8,connect.dat,0,0.2,15002
Q9,connect.dat,6197,0.2,15002
Q1,connect.dat,5202,0.4,15001
Q2,connect.dat,3150,0.4,15001
Q3,connect.dat,4789,0.4,15001
Q4,connect.dat,221812617,0.4,15001
Q5,connect.dat,820,0.4,45866
Q6,connect.dat,8360,0.4,15003
Q7,connect.dat,3337,0.4,15001
Q8,connect.dat,0,0.4,15002
Q9,connect.dat,3008,0.4,15003
Q1,connect.dat,4483,0.6,15001
Q2,connect.dat,2796,0.6,15004
Q3,connect.dat,2103,0.6,1280
Q4,connect.dat,221816431,0.6,15001
Q5,connect.dat,602,0.6,28374
Q6,connect.dat,4101,0.6,15002
Q7,connect.dat,2887,0.6,15002
Q8,connect.dat,0,0.6,15004
Q9,connect.dat,2963,0.6,15001
Q1,connect.dat,3760,0.8,15002
Q2,connect.dat,2343,0.8,15002
Q3,connect.dat,673,0.8,383
Q4,connect.dat,220642998,0.8,15001
Q5,connect.dat,2378,0.8,73440
Q6,connect.dat,9460,0.8,15004
Q7,connect.dat,2683,0.8,15003
Q8,connect.dat,0,0.8,15003
Q9,connect.dat,2182,0.8,15002
Q1,pumsb.dat,4291,0.2,15001
Q2,pumsb.dat,3834,0.2,15001
Q3,pumsb.dat,1242,0.2,15001
Q4,pumsb.dat,124360419,0.2,15001
Q5,pumsb.dat,161,0.2,20872
Q6,pumsb.dat,4425,0.2,15002
Q7,pumsb.dat,3910,0.2,15002
Q8,pumsb.dat,0,0.2,15004
Q9,pumsb.dat,3805,0.2,15002
Q1,pumsb.dat,1898,0.4,15003
Q2,pumsb.dat,1873,0.4,15004
Q3,pumsb.dat,2856,0.4,15001
Q4,pumsb.dat,123528333,0.4,15001
Q5,pumsb.dat,2288,0.4,114242
Q6,pumsb.dat,25613,0.4,15004
Q7,pumsb.dat,1938,0.4,15005
Q8,pumsb.dat,0,0.4,15002
Q9,pumsb.dat,1922,0.4,15003
Q1,pumsb.dat,1480,0.6,15009
Q2,pumsb.dat,1500,0.6,15006
Q3,pumsb.dat,13208,0.6,15001
Q4,pumsb.dat,122803754,0.6,15001
Q5,pumsb.dat,923,0.6,26474
Q6,pumsb.dat,8270,0.6,15002
Q7,pumsb.dat,1623,0.6,15013
Q8,pumsb.dat,0,0.6,15002
Q9,pumsb.dat,1596,0.6,15002
Q1,pumsb.dat,1686,0.8,15001
Q2,pumsb.dat,1558,0.8,15005
Q3,pumsb.dat,3145,0.8,695
Q4,pumsb.dat,123319521,0.8,15001
Q5,pumsb.dat,2510,0.8,40789
Q6,pumsb.dat,9759,0.8,15002
Q7,pumsb.dat,1811,0.8,15005
Q8,pumsb.dat,0,0.8,15003
Q9,pumsb.dat,1713,0.8,15001
Q1,heart-cleveland.dat,3478070,0.2,15001
Q2,heart-cleveland.dat,1044428,0.2,9449
Q3,heart-cleveland.dat,18184,0.2,15001
Q4,heart-cleveland.dat,206451594,0.2,15001
Q5,heart-cleveland.dat,24595,0.2,15221
Q6,heart-cleveland.dat,40425,0.2,15001
Q7,heart-cleveland.dat,1042538,0.2,9711
Q8,heart-cleveland.dat,123,0.2,9839
Q9,heart-cleveland.dat,1044305,0.2,9663
Q1,heart-cleveland.dat,110837,0.4,975
Q2,heart-cleveland.dat,24327,0.4,391
Q3,heart-cleveland.dat,7232,0.4,203
Q4,heart-cleveland.dat,205611845,0.4,15001
Q5,heart-cleveland.dat,17958,0.4,15495
Q6,heart-cleveland.dat,13597,0.4,15001
Q7,heart-cleveland.dat,23538,0.4,367
Q8,heart-cleveland.dat,0,0.4,378
Q9,heart-cleveland.dat,24327,0.4,366
Q1,heart-cleveland.dat,1649,0.6,23
Q2,heart-cleveland.dat,970,0.6,18
Q3,heart-cleveland.dat,448,0.6,6
Q4,heart-cleveland.dat,205096278,0.6,15001
Q5,heart-cleveland.dat,970,0.6,149
Q6,heart-cleveland.dat,1394,0.6,61
Q7,heart-cleveland.dat,601,0.6,18
Q8,heart-cleveland.dat,0,0.6,17
Q9,heart-cleveland.dat,970,0.6,18
Q1,heart-cleveland.dat,34,0.8,0
Q2,heart-cleveland.dat,32,0.8,1
Q3,heart-cleveland.dat,21,0.8,2
Q4,heart-cleveland.dat,205668816,0.8,15001
Q5,heart-cleveland.dat,32,0.8,1
Q6,heart-cleveland.dat,150,0.8,2
Q7,heart-cleveland.dat,0,0.8,1
Q8,heart-cleveland.dat,0,0.8,1
Q9,heart-cleveland.dat,32,0.8,0
Q1,eisen.dat,11,0.2,3
Q2,eisen.dat,10,0.2,1
Q3,eisen.dat,7,0.2,11
Q4,eisen.dat,144271623,0.2,15001
Q5,eisen.dat,10,0.2,10
Q6,eisen.dat,9864,0.2,10
Q7,eisen.dat,0,0.2,1
Q8,eisen.dat,1,0.2,1
Q9,eisen.dat,9,0.2,1
Q1,eisen.dat,1,0.4,1
Q2,eisen.dat,1,0.4,0
Q3,eisen.dat,1,0.4,11
Q4,eisen.dat,144006808,0.4,15001
Q5,eisen.dat,1,0.4,1
Q6,eisen.dat,9838,0.4,6
Q7,eisen.dat,0,0.4,0
Q8,eisen.dat,0,0.4,1
Q9,eisen.dat,1,0.4,0
Q1,eisen.dat,1,0.6,1
Q2,eisen.dat,1,0.6,0
Q3,eisen.dat,1,0.6,10
Q4,eisen.dat,143743576,0.6,15001
Q5,eisen.dat,1,0.6,0
Q6,eisen.dat,9838,0.6,6
Q7,eisen.dat,0,0.6,0
Q8,eisen.dat,0,0.6,0
Q9,eisen.dat,1,0.6,0
Q1,eisen.dat,0,0.8,0
Q2,eisen.dat,0,0.8,0
Q3,eisen.dat,0,0.8,13
Q4,eisen.dat,144030688,0.8,15001
Q5,eisen.dat,0,0.8,1
Q6,eisen.dat,9839,0.8,6
Q7,eisen.dat,0,0.8,0
Q8,eisen.dat,0,0.8,0
Q9,eisen.dat,0,0.8,1
Q1,mushroom.dat,15713,0.2,1224
Q2,mushroom.dat,811,0.2,281
Q3,mushroom.dat,136,0.2,28
Q4,mushroom.dat,244162837,0.2,15001
Q5,mushroom.dat,1096,0.2,9212
Q6,mushroom.dat,784,0.2,5898
Q7,mushroom.dat,709,0.2,270
Q8,mushroom.dat,40,0.2,269
Q9,mushroom.dat,771,0.2,266
Q1,mushroom.dat,415,0.4,74
Q2,mushroom.dat,107,0.4,44
Q3,mushroom.dat,30,0.4,19
Q4,mushroom.dat,243848629,0.4,15001
Q5,mushroom.dat,133,0.4,184
Q6,mushroom.dat,200,0.4,177
Q7,mushroom.dat,62,0.4,48
Q8,mushroom.dat,0,0.4,44
Q9,mushroom.dat,107,0.4,45
Q1,mushroom.dat,51,0.6,11
Q2,mushroom.dat,19,0.6,7
Q3,mushroom.dat,5,0.6,17
Q4,mushroom.dat,247159314,0.6,15001
Q5,mushroom.dat,21,0.6,16
Q6,mushroom.dat,116,0.6,28
Q7,mushroom.dat,5,0.6,9
Q8,mushroom.dat,0,0.6,8
Q9,mushroom.dat,19,0.6,10
Q1,mushroom.dat,23,0.8,5
Q2,mushroom.dat,10,0.8,4
Q3,mushroom.dat,2,0.8,16
Q4,mushroom.dat,245374123,0.8,15001
Q5,mushroom.dat,10,0.8,7
Q6,mushroom.dat,108,0.8,15
Q7,mushroom.dat,2,0.8,4
Q8,mushroom.dat,0,0.8,4
Q9,mushroom.dat,10,0.8,5
Q1,iris.dat,54,0.2,0
Q2,iris.dat,31,0.2,0
Q3,iris.dat,8,0.2,0
Q4,iris.dat,0,0.2,0
Q5,iris.dat,37,0.2,0
Q6,iris.dat,52,0.2,1
Q7,iris.dat,3,0.2,0
Q8,iris.dat,6,0.2,0
Q9,iris.dat,25,0.2,0
Q1,iris.dat,0,0.4,0
Q2,iris.dat,0,0.4,0
Q3,iris.dat,0,0.4,0
Q4,iris.dat,345,0.4,0
Q5,iris.dat,0,0.4,0
Q6,iris.dat,15,0.4,0
Q7,iris.dat,0,0.4,0
Q8,iris.dat,0,0.4,1
Q9,iris.dat,0,0.4,0
Q1,iris.dat,0,0.6,0
Q2,iris.dat,0,0.6,0
Q3,iris.dat,0,0.6,0
Q4,iris.dat,345,0.6,0
Q5,iris.dat,0,0.6,0
Q6,iris.dat,15,0.6,1
Q7,iris.dat,0,0.6,0
Q8,iris.dat,0,0.6,0
Q9,iris.dat,0,0.6,0
Q1,iris.dat,0,0.8,0
Q2,iris.dat,0,0.8,0
Q3,iris.dat,0,0.8,0
Q4,iris.dat,345,0.8,1
Q5,iris.dat,0,0.8,0
Q6,iris.dat,15,0.8,0
Q7,iris.dat,0,0.8,0
Q8,iris.dat,0,0.8,0
Q9,iris.dat,0,0.8,0
Q1,contextPasquier99.dat,19,0.2,0
Q2,contextPasquier99.dat,6,0.2,0
Q3,contextPasquier99.dat,2,0.2,0
Q4,contextPasquier99.dat,0,0.2,0
Q5,contextPasquier99.dat,9,0.2,0
Q6,contextPasquier99.dat,0,0.2,0
Q7,contextPasquier99.dat,1,0.2,0
Q8,contextPasquier99.dat,5,0.2,0
Q9,contextPasquier99.dat,1,0.2,0
Q1,contextPasquier99.dat,15,0.4,0
Q2,contextPasquier99.dat,5,0.4,0
Q3,contextPasquier99.dat,1,0.4,0
Q4,contextPasquier99.dat,4,0.4,0
Q5,contextPasquier99.dat,8,0.4,0
Q6,contextPasquier99.dat,1,0.4,0
Q7,contextPasquier99.dat,1,0.4,0
Q8,contextPasquier99.dat,4,0.4,0
Q9,contextPasquier99.dat,1,0.4,0
Q1,contextPasquier99.dat,9,0.6,0
Q2,contextPasquier99.dat,4,0.6,0
Q3,contextPasquier99.dat,2,0.6,0
Q4,contextPasquier99.dat,4,0.6,0
Q5,contextPasquier99.dat,6,0.6,0
Q6,contextPasquier99.dat,3,0.6,0
Q7,contextPasquier99.dat,0,0.6,0
Q8,contextPasquier99.dat,3,0.6,0
Q9,contextPasquier99.dat,1,0.6,0
Q1,contextPasquier99.dat,4,0.8,0
Q2,contextPasquier99.dat,2,0.8,0
Q3,contextPasquier99.dat,2,0.8,1
Q4,contextPasquier99.dat,12,0.8,0
Q5,contextPasquier99.dat,3,0.8,0
Q6,contextPasquier99.dat,4,0.8,0
Q7,contextPasquier99.dat,0,0.8,0
Q8,contextPasquier99.dat,1,0.8,0
Q9,contextPasquier99.dat,1,0.8,0
